Date,User_ID,Session_ID,Source,Medium,Country,Device,Page,Page_Order,Engagement_Time,Converted,User_Type
2026-01-01,U631,S1976,Organic,Google,UK,Mobile,Home,3,52,0,New
2026-01-01,U633,S1986,Email,Newsletter,UK,Mobile,Checkout,1,127,1,New
2026-01-01,U678,S2130,Direct,Website,Australia,Mobile,Checkout,1,248,1,New
2026-01-01,U678,S2130,Direct,Website,Australia,Mobile,Contact,2,202,1,New
2026-01-01,U716,S2254,Direct,Website,Australia,Mobile,Pricing,1,117,1,New
2026-01-01,U716,S2254,Direct,Website,Australia,Mobile,Checkout,2,139,1,New
2026-01-01,U716,S2254,Direct,Website,Australia,Mobile,Home,3,283,1,New
2026-01-01,U728,S2287,Email,Newsletter,Canada,Mobile,Pricing,1,220,0,New
2026-01-01,U8,S23,Referral,PartnerSite,UK,Desktop,Pricing,1,108,0,New
2026-01-01,U8,S23,Referral,PartnerSite,UK,Desktop,Checkout,2,64,0,New
2026-01-01,U740,S2333,Organic,Google,Canada,Desktop,Home,1,79,1,New
2026-01-01,U740,S2333,Organic,Google,Canada,Desktop,Checkout,2,218,1,New
2026-01-01,U740,S2333,Organic,Google,Canada,Desktop,Contact,3,213,1,New
2026-01-01,U748,S2370,Direct,Website,India,Desktop,Product,1,92,0,New
2026-01-01,U748,S2370,Direct,Website,India,Desktop,Pricing,2,80,0,New
2026-01-01,U748,S2370,Direct,Website,India,Desktop,Home,3,122,0,New
2026-01-01,U748,S2370,Direct,Website,India,Desktop,Contact,4,131,0,New
2026-01-01,U757,S2394,Organic,Google,Canada,Mobile,Contact,1,122,0,New
2026-01-01,U774,S2451,Direct,Website,USA,Desktop,Pricing,1,295,0,New
2026-01-01,U774,S2451,Direct,Website,USA,Desktop,Product,2,243,0,New
2026-01-01,U876,S2730,Direct,Website,India,Desktop,Blog,1,21,0,New
2026-01-01,U876,S2730,Direct,Website,India,Desktop,Checkout,2,298,0,New
2026-01-01,U890,S2766,Social,Instagram,Australia,Mobile,Pricing,1,122,1,New
2026-01-01,U890,S2766,Social,Instagram,Australia,Mobile,Product,2,69,1,New
2026-01-01,U890,S2766,Social,Instagram,Australia,Mobile,Checkout,3,253,1,New
2026-01-01,U897,S2784,Social,Instagram,Australia,Tablet,Pricing,1,282,0,New
2026-01-01,U897,S2784,Social,Instagram,Australia,Tablet,Contact,2,186,0,New
2026-01-01,U897,S2784,Social,Instagram,Australia,Tablet,Blog,3,27,0,New
2026-01-01,U897,S2784,Social,Instagram,Australia,Tablet,Checkout,4,229,0,New
2026-01-01,U906,S2812,Email,Newsletter,Canada,Mobile,Home,1,299,0,New
2026-01-01,U906,S2812,Email,Newsletter,Canada,Mobile,Product,2,225,0,New
2026-01-01,U86,S282,Social,Instagram,USA,Mobile,Home,1,40,0,New
2026-01-01,U938,S2919,Direct,Website,UK,Mobile,Blog,1,42,0,New
2026-01-01,U938,S2919,Direct,Website,UK,Mobile,Home,2,43,0,New
2026-01-01,U947,S2947,Email,Newsletter,Canada,Mobile,Checkout,1,277,0,New
2026-01-01,U947,S2947,Email,Newsletter,Canada,Mobile,Contact,2,99,0,New
2026-01-01,U947,S2947,Email,Newsletter,Canada,Mobile,Home,3,222,0,New
2026-01-01,U947,S2947,Email,Newsletter,Canada,Mobile,Pricing,4,103,0,New
2026-01-01,U997,S3094,Organic,Google,USA,Mobile,Checkout,1,100,1,New
2026-01-01,U1010,S3143,Email,Newsletter,USA,Mobile,Checkout,1,141,1,New
2026-01-01,U1010,S3143,Email,Newsletter,USA,Mobile,Blog,2,126,1,New
2026-01-01,U1028,S3194,Social,Instagram,Australia,Desktop,Pricing,1,49,1,New
2026-01-01,U1028,S3194,Social,Instagram,Australia,Desktop,Blog,2,283,1,New
2026-01-01,U1028,S3194,Social,Instagram,Australia,Desktop,Checkout,3,194,1,New
2026-01-01,U1028,S3194,Social,Instagram,Australia,Desktop,Home,4,46,1,New
2026-01-01,U1069,S3306,Email,Newsletter,Australia,Mobile,Blog,1,33,1,New
2026-01-01,U1069,S3306,Email,Newsletter,Australia,Mobile,Checkout,2,222,1,New
2026-01-01,U1069,S3306,Email,Newsletter,Australia,Mobile,Pricing,3,229,1,New
2026-01-01,U1071,S3314,Email,Newsletter,Canada,Mobile,Contact,1,229,0,New
2026-01-01,U1085,S3355,Direct,Website,Canada,Mobile,Pricing,1,155,0,New
2026-01-01,U1085,S3355,Direct,Website,Canada,Mobile,Blog,2,263,0,New
2026-01-01,U1085,S3355,Direct,Website,Canada,Mobile,Product,3,255,0,New
2026-01-01,U1085,S3355,Direct,Website,Canada,Mobile,Contact,4,147,0,New
2026-01-01,U1094,S3382,Direct,Website,Australia,Desktop,Home,1,256,0,New
2026-01-01,U1094,S3382,Direct,Website,Australia,Desktop,Blog,2,45,0,New
2026-01-01,U1094,S3382,Direct,Website,Australia,Desktop,Pricing,3,81,0,New
2026-01-01,U1177,S3614,Organic,Google,UK,Desktop,Home,1,299,0,New
2026-01-01,U1177,S3614,Organic,Google,UK,Desktop,Pricing,2,228,0,New
2026-01-01,U1177,S3614,Organic,Google,UK,Desktop,Product,3,277,0,New
2026-01-01,U1182,S3626,Social,Instagram,Canada,Mobile,Pricing,1,56,0,New
2026-01-01,U1182,S3626,Social,Instagram,Canada,Mobile,Product,2,224,0,New
2026-01-01,U1185,S3637,Social,Instagram,Australia,Tablet,Product,1,155,0,New
2026-01-01,U1251,S3861,Direct,Website,USA,Mobile,Contact,1,242,0,New
2026-01-01,U1251,S3861,Direct,Website,USA,Mobile,Blog,2,278,0,New
2026-01-01,U1251,S3861,Direct,Website,USA,Mobile,Checkout,3,145,0,New
2026-01-01,U119,S387,Referral,PartnerSite,India,Mobile,Product,1,152,1,New
2026-01-01,U119,S387,Referral,PartnerSite,India,Mobile,Checkout,2,130,1,New
2026-01-01,U119,S387,Referral,PartnerSite,India,Mobile,Blog,3,171,1,New
2026-01-01,U1264,S3909,Email,Newsletter,India,Mobile,Contact,1,83,0,New
2026-01-01,U1279,S3956,Referral,PartnerSite,Australia,Mobile,Blog,1,276,1,New
2026-01-01,U1279,S3956,Referral,PartnerSite,Australia,Mobile,Checkout,2,222,1,New
2026-01-01,U1279,S3956,Referral,PartnerSite,Australia,Mobile,Contact,3,86,1,New
2026-01-01,U1279,S3956,Referral,PartnerSite,Australia,Mobile,Home,4,284,1,New
2026-01-01,U1290,S3987,Organic,Google,Australia,Mobile,Checkout,1,102,1,New
2026-01-01,U1290,S3987,Organic,Google,Australia,Mobile,Home,2,168,1,New
2026-01-01,U1291,S3989,Referral,PartnerSite,India,Mobile,Checkout,1,88,0,New
2026-01-01,U1338,S4149,Referral,PartnerSite,UK,Mobile,Home,1,220,0,New
2026-01-01,U1365,S4235,Direct,Website,Canada,Tablet,Home,1,164,0,New
2026-01-01,U1365,S4235,Direct,Website,Canada,Tablet,Product,2,173,0,New
2026-01-01,U1415,S4377,Referral,PartnerSite,Australia,Tablet,Pricing,1,54,0,New
2026-01-01,U1415,S4377,Referral,PartnerSite,Australia,Tablet,Blog,2,300,0,New
2026-01-01,U1470,S4543,Organic,Google,UK,Mobile,Pricing,1,76,0,New
2026-01-01,U1470,S4543,Organic,Google,UK,Mobile,Contact,2,246,0,New
2026-01-01,U1476,S4567,Email,Newsletter,UK,Mobile,Contact,1,171,1,New
2026-01-01,U1476,S4567,Email,Newsletter,UK,Mobile,Checkout,2,119,1,New
2026-01-01,U1476,S4567,Email,Newsletter,UK,Mobile,Blog,3,85,1,New
2026-01-01,U1476,S4567,Email,Newsletter,UK,Mobile,Pricing,4,64,1,New
2026-01-01,U1480,S4579,Direct,Website,India,Desktop,Product,1,191,1,New
2026-01-01,U1480,S4579,Direct,Website,India,Desktop,Contact,2,43,1,New
2026-01-01,U1480,S4579,Direct,Website,India,Desktop,Blog,3,177,1,New
2026-01-01,U1480,S4579,Direct,Website,India,Desktop,Checkout,4,236,1,New
2026-01-01,U1492,S4618,Organic,Google,USA,Mobile,Blog,1,43,0,New
2026-01-01,U1492,S4618,Organic,Google,USA,Mobile,Contact,2,176,0,New
2026-01-01,U1540,S4749,Social,Instagram,Canada,Mobile,Pricing,1,106,0,New
2026-01-01,U1540,S4749,Social,Instagram,Canada,Mobile,Product,2,202,0,New
2026-01-01,U1540,S4749,Social,Instagram,Canada,Mobile,Contact,3,168,0,New
2026-01-01,U1576,S4853,Email,Newsletter,UK,Mobile,Home,1,50,0,New
2026-01-01,U1576,S4853,Email,Newsletter,UK,Mobile,Product,2,289,0,New
2026-01-01,U1576,S4853,Email,Newsletter,UK,Mobile,Pricing,3,218,0,New
2026-01-01,U1579,S4863,Referral,PartnerSite,Canada,Tablet,Pricing,1,143,0,New
2026-01-01,U1579,S4863,Referral,PartnerSite,Canada,Tablet,Contact,2,138,0,New
2026-01-01,U1579,S4863,Referral,PartnerSite,Canada,Tablet,Product,3,269,0,New
2026-01-01,U1579,S4863,Referral,PartnerSite,Canada,Tablet,Blog,4,30,0,New
2026-01-01,U1609,S4953,Email,Newsletter,Canada,Mobile,Home,1,127,1,New
2026-01-01,U1609,S4953,Email,Newsletter,Canada,Mobile,Checkout,2,137,1,New
2026-01-01,U1647,S5059,Referral,PartnerSite,Australia,Mobile,Product,1,198,0,New
2026-01-01,U1647,S5059,Referral,PartnerSite,Australia,Mobile,Home,2,88,0,New
2026-01-01,U1679,S5159,Referral,PartnerSite,Australia,Mobile,Contact,1,134,0,New
2026-01-01,U1679,S5159,Referral,PartnerSite,Australia,Mobile,Pricing,2,90,0,New
2026-01-01,U1705,S5238,Social,Instagram,India,Tablet,Home,1,99,0,New
2026-01-01,U1705,S5238,Social,Instagram,India,Tablet,Product,2,283,0,New
2026-01-01,U1705,S5238,Social,Instagram,India,Tablet,Pricing,3,70,0,New
2026-01-01,U1711,S5254,Direct,Website,USA,Mobile,Checkout,1,271,1,New
2026-01-01,U1711,S5254,Direct,Website,USA,Mobile,Blog,2,261,1,New
2026-01-01,U1720,S5282,Organic,Google,USA,Desktop,Blog,1,35,1,New
2026-01-01,U1720,S5282,Organic,Google,USA,Desktop,Contact,2,27,1,New
2026-01-01,U1720,S5282,Organic,Google,USA,Desktop,Checkout,3,249,1,New
2026-01-01,U1721,S5286,Social,Instagram,India,Mobile,Home,1,249,0,New
2026-01-01,U1733,S5322,Email,Newsletter,Canada,Mobile,Blog,1,265,0,New
2026-01-01,U1733,S5322,Email,Newsletter,Canada,Mobile,Home,2,248,0,New
2026-01-01,U1733,S5322,Email,Newsletter,Canada,Mobile,Pricing,3,142,0,New
2026-01-01,U1749,S5373,Email,Newsletter,UK,Mobile,Product,1,154,0,New
2026-01-01,U1749,S5373,Email,Newsletter,UK,Mobile,Contact,2,259,0,New
2026-01-01,U1757,S5390,Organic,Google,Canada,Mobile,Contact,1,134,0,New
2026-01-01,U1757,S5390,Organic,Google,Canada,Mobile,Pricing,2,20,0,New
2026-01-01,U1773,S5440,Email,Newsletter,USA,Mobile,Home,1,167,0,New
2026-01-01,U1773,S5440,Email,Newsletter,USA,Mobile,Product,2,44,0,New
2026-01-01,U1773,S5440,Email,Newsletter,USA,Mobile,Pricing,3,161,0,New
2026-01-01,U1788,S5474,Organic,Google,India,Mobile,Blog,1,20,0,New
2026-01-01,U1788,S5474,Organic,Google,India,Mobile,Product,2,159,0,New
2026-01-01,U1788,S5474,Organic,Google,India,Mobile,Pricing,3,183,0,New
2026-01-01,U1798,S5507,Referral,PartnerSite,India,Mobile,Blog,1,189,0,New
2026-01-01,U1798,S5507,Referral,PartnerSite,India,Mobile,Product,2,244,0,New
2026-01-01,U1798,S5507,Referral,PartnerSite,India,Mobile,Home,3,96,0,New
2026-01-01,U1802,S5515,Social,Instagram,Australia,Mobile,Pricing,1,103,0,New
2026-01-01,U1802,S5515,Social,Instagram,Australia,Mobile,Product,2,130,0,New
2026-01-01,U1802,S5515,Social,Instagram,Australia,Mobile,Blog,3,143,0,New
2026-01-01,U1802,S5515,Social,Instagram,Australia,Mobile,Home,4,36,0,New
2026-01-01,U1804,S5523,Organic,Google,Canada,Desktop,Checkout,1,218,1,New
2026-01-01,U1804,S5523,Organic,Google,Canada,Desktop,Contact,2,44,1,New
2026-01-01,U1804,S5523,Organic,Google,Canada,Desktop,Home,3,293,1,New
2026-01-01,U1810,S5539,Social,Instagram,Canada,Mobile,Home,1,254,1,New
2026-01-01,U1810,S5539,Social,Instagram,Canada,Mobile,Checkout,2,251,1,New
2026-01-01,U1810,S5539,Social,Instagram,Canada,Mobile,Product,3,285,1,New
2026-01-01,U1810,S5539,Social,Instagram,Canada,Mobile,Contact,4,270,1,New
2026-01-01,U1823,S5580,Organic,Google,India,Mobile,Blog,1,29,1,New
2026-01-01,U1823,S5580,Organic,Google,India,Mobile,Checkout,2,33,1,New
2026-01-01,U1823,S5580,Organic,Google,India,Mobile,Home,3,277,1,New
2026-01-01,U1828,S5600,Social,Instagram,UK,Mobile,Product,1,95,0,New
2026-01-01,U1828,S5600,Social,Instagram,UK,Mobile,Home,2,145,0,New
2026-01-01,U1883,S5755,Direct,Website,India,Desktop,Product,1,111,0,New
2026-01-01,U1922,S5861,Email,Newsletter,UK,Mobile,Home,1,293,0,New
2026-01-01,U1922,S5861,Email,Newsletter,UK,Mobile,Product,2,272,0,New
2026-01-01,U1922,S5861,Email,Newsletter,UK,Mobile,Checkout,3,31,0,New
2026-01-01,U1925,S5870,Referral,PartnerSite,Canada,Mobile,Product,1,195,0,New
2026-01-01,U1925,S5870,Referral,PartnerSite,Canada,Mobile,Checkout,2,66,0,New
2026-01-01,U187,S588,Direct,Website,India,Mobile,Pricing,1,201,1,New
2026-01-01,U187,S588,Direct,Website,India,Mobile,Contact,2,287,1,New
2026-01-01,U187,S588,Direct,Website,India,Mobile,Checkout,3,273,1,New
2026-01-01,U187,S588,Direct,Website,India,Mobile,Product,4,78,1,New
2026-01-01,U1940,S5926,Referral,PartnerSite,UK,Mobile,Home,1,39,0,New
2026-01-01,U1940,S5926,Referral,PartnerSite,UK,Mobile,Checkout,2,291,0,New
2026-01-01,U191,S599,Direct,Website,Australia,Mobile,Blog,1,223,0,New
2026-01-01,U1980,S6054,Email,Newsletter,Canada,Mobile,Checkout,1,87,0,New
2026-01-01,U1980,S6054,Email,Newsletter,Canada,Mobile,Pricing,2,256,0,New
2026-01-01,U1983,S6064,Referral,PartnerSite,UK,Desktop,Home,1,229,0,New
2026-01-01,U1983,S6064,Referral,PartnerSite,UK,Desktop,Blog,2,239,0,New
2026-01-01,U1983,S6064,Referral,PartnerSite,UK,Desktop,Pricing,3,287,0,New
2026-01-01,U19,S63,Organic,Google,USA,Mobile,Pricing,1,263,1,New
2026-01-01,U19,S63,Organic,Google,USA,Mobile,Blog,2,269,1,New
2026-01-01,U19,S63,Organic,Google,USA,Mobile,Checkout,3,99,1,New
2026-01-01,U211,S659,Email,Newsletter,UK,Mobile,Product,1,160,0,New
2026-01-01,U215,S667,Social,Instagram,Australia,Mobile,Contact,1,162,0,New
2026-01-01,U241,S739,Organic,Google,Canada,Mobile,Home,1,283,1,New
2026-01-01,U241,S739,Organic,Google,Canada,Mobile,Pricing,2,289,1,New
2026-01-01,U241,S739,Organic,Google,Canada,Mobile,Checkout,3,48,1,New
2026-01-01,U242,S744,Social,Instagram,UK,Desktop,Checkout,1,275,1,New
2026-01-01,U242,S744,Social,Instagram,UK,Desktop,Pricing,2,263,1,New
2026-01-01,U244,S754,Direct,Website,UK,Mobile,Home,1,210,0,New
2026-01-01,U244,S754,Direct,Website,UK,Mobile,Contact,2,236,0,New
2026-01-01,U244,S754,Direct,Website,UK,Mobile,Checkout,3,122,0,New
2026-01-01,U244,S754,Direct,Website,UK,Mobile,Blog,4,21,0,New
2026-01-01,U247,S761,Direct,Website,USA,Mobile,Pricing,1,186,0,New
2026-01-01,U25,S80,Direct,Website,Australia,Mobile,Pricing,1,46,0,New
2026-01-01,U25,S80,Direct,Website,Australia,Mobile,Contact,2,298,0,New
2026-01-01,U25,S80,Direct,Website,Australia,Mobile,Blog,3,32,0,New
2026-01-01,U25,S80,Direct,Website,Australia,Mobile,Product,4,145,0,New
2026-01-01,U287,S878,Organic,Google,Australia,Desktop,Contact,1,112,0,New
2026-01-01,U287,S878,Organic,Google,Australia,Desktop,Blog,2,295,0,New
2026-01-01,U287,S878,Organic,Google,Australia,Desktop,Product,3,22,0,New
2026-01-01,U287,S878,Organic,Google,Australia,Desktop,Checkout,4,237,0,New
2026-01-01,U303,S930,Direct,Website,India,Mobile,Pricing,1,85,0,New
2026-01-01,U303,S930,Direct,Website,India,Mobile,Contact,2,64,0,New
2026-01-01,U303,S930,Direct,Website,India,Mobile,Home,3,137,0,New
2026-01-01,U313,S972,Organic,Google,Australia,Mobile,Product,1,270,0,New
2026-01-01,U313,S972,Organic,Google,Australia,Mobile,Home,2,163,0,New
2026-01-01,U313,S972,Organic,Google,Australia,Mobile,Checkout,3,192,0,New
2026-01-01,U313,S972,Organic,Google,Australia,Mobile,Blog,4,69,0,New
2026-01-02,U36,S111,Social,Instagram,UK,Desktop,Home,1,270,0,New
2026-01-02,U36,S111,Social,Instagram,UK,Desktop,Product,2,29,0,New
2026-01-02,U36,S111,Social,Instagram,UK,Desktop,Pricing,3,106,0,New
2026-01-02,U36,S111,Social,Instagram,UK,Desktop,Contact,4,242,0,New
2026-01-02,U370,S1166,Referral,PartnerSite,UK,Mobile,Pricing,1,98,0,New
2026-01-02,U370,S1166,Referral,PartnerSite,UK,Mobile,Contact,2,64,0,New
2026-01-02,U375,S1185,Organic,Google,India,Desktop,Contact,1,156,1,New
2026-01-02,U375,S1185,Organic,Google,India,Desktop,Checkout,2,83,1,New
2026-01-02,U377,S1190,Organic,Google,Canada,Desktop,Pricing,1,146,0,New
2026-01-02,U479,S1513,Social,Instagram,UK,Desktop,Home,1,190,0,New
2026-01-02,U481,S1516,Direct,Website,India,Mobile,Blog,1,182,0,New
2026-01-02,U481,S1516,Direct,Website,India,Mobile,Pricing,2,215,0,New
2026-01-02,U481,S1516,Direct,Website,India,Mobile,Product,3,218,0,New
2026-01-02,U481,S1516,Direct,Website,India,Mobile,Home,4,211,0,New
2026-01-02,U517,S1628,Direct,Website,Australia,Mobile,Product,1,290,0,New
2026-01-02,U517,S1628,Direct,Website,Australia,Mobile,Home,2,290,0,New
2026-01-02,U517,S1628,Direct,Website,Australia,Mobile,Checkout,3,293,0,New
2026-01-02,U569,S1787,Organic,Google,USA,Mobile,Pricing,1,145,0,New
2026-01-02,U569,S1787,Organic,Google,USA,Mobile,Product,2,250,0,New
2026-01-02,U575,S1797,Email,Newsletter,Canada,Mobile,Blog,1,148,0,New
2026-01-02,U575,S1797,Email,Newsletter,Canada,Mobile,Pricing,2,203,0,New
2026-01-02,U575,S1797,Email,Newsletter,Canada,Mobile,Product,3,163,0,New
2026-01-02,U583,S1821,Referral,PartnerSite,India,Mobile,Pricing,1,38,0,New
2026-01-02,U590,S1840,Organic,Google,Canada,Mobile,Blog,1,289,0,New
2026-01-02,U590,S1840,Organic,Google,Canada,Mobile,Product,2,69,0,New
2026-01-02,U590,S1840,Organic,Google,Canada,Mobile,Pricing,3,97,0,New
2026-01-02,U591,S1842,Organic,Google,Australia,Mobile,Blog,1,32,1,New
2026-01-02,U591,S1842,Organic,Google,Australia,Mobile,Checkout,2,267,1,New
2026-01-02,U591,S1842,Organic,Google,Australia,Mobile,Home,3,195,1,New
2026-01-02,U591,S1842,Organic,Google,Australia,Mobile,Product,4,177,1,New
2026-01-02,U605,S1889,Direct,Website,Australia,Mobile,Pricing,1,236,1,New
2026-01-02,U605,S1889,Direct,Website,Australia,Mobile,Contact,2,240,1,New
2026-01-02,U605,S1889,Direct,Website,Australia,Mobile,Checkout,3,31,1,New
2026-01-02,U606,S1894,Direct,Website,USA,Mobile,Checkout,1,237,1,New
2026-01-02,U606,S1894,Direct,Website,USA,Mobile,Product,2,292,1,New
2026-01-02,U606,S1894,Direct,Website,USA,Mobile,Contact,3,199,1,New
2026-01-02,U607,S1898,Organic,Google,Australia,Mobile,Pricing,1,276,0,New
2026-01-02,U607,S1898,Organic,Google,Australia,Mobile,Contact,2,191,0,New
2026-01-02,U607,S1898,Organic,Google,Australia,Mobile,Product,3,205,0,New
2026-01-02,U627,S1962,Direct,Website,Australia,Tablet,Product,1,68,0,New
2026-01-02,U627,S1962,Direct,Website,Australia,Tablet,Contact,2,249,0,New
2026-01-02,U627,S1962,Direct,Website,Australia,Tablet,Blog,3,259,0,New
2026-01-02,U632,S1981,Social,Instagram,USA,Mobile,Home,1,143,0,New
2026-01-02,U632,S1981,Social,Instagram,USA,Mobile,Contact,2,44,0,New
2026-01-02,U649,S2041,Email,Newsletter,USA,Mobile,Pricing,1,117,0,New
2026-01-02,U650,S2044,Organic,Google,Canada,Mobile,Contact,1,176,0,New
2026-01-02,U650,S2044,Organic,Google,Canada,Mobile,Home,2,232,0,New
2026-01-02,U654,S2054,Email,Newsletter,Canada,Mobile,Home,1,243,0,New
2026-01-02,U654,S2054,Email,Newsletter,Canada,Mobile,Blog,2,215,0,New
2026-01-02,U654,S2054,Email,Newsletter,Canada,Mobile,Product,3,297,0,New
2026-01-02,U671,S2109,Social,Instagram,Australia,Tablet,Blog,1,144,0,New
2026-01-02,U671,S2109,Social,Instagram,Australia,Tablet,Checkout,2,208,0,New
2026-01-02,U671,S2109,Social,Instagram,Australia,Tablet,Home,3,120,0,New
2026-01-02,U684,S2154,Email,Newsletter,India,Desktop,Pricing,1,177,1,New
2026-01-02,U684,S2154,Email,Newsletter,India,Desktop,Product,2,132,1,New
2026-01-02,U684,S2154,Email,Newsletter,India,Desktop,Checkout,3,266,1,New
2026-01-02,U723,S2278,Organic,Google,UK,Mobile,Pricing,1,226,0,New
2026-01-02,U723,S2278,Organic,Google,UK,Mobile,Checkout,2,192,0,New
2026-01-02,U730,S2294,Direct,Website,USA,Desktop,Home,1,138,0,New
2026-01-02,U738,S2324,Email,Newsletter,Canada,Mobile,Pricing,1,176,0,New
2026-01-02,U738,S2324,Email,Newsletter,Canada,Mobile,Home,2,260,0,New
2026-01-02,U738,S2324,Email,Newsletter,Canada,Mobile,Product,3,26,0,New
2026-01-02,U747,S2366,Social,Instagram,UK,Mobile,Checkout,1,68,1,New
2026-01-02,U760,S2401,Email,Newsletter,India,Mobile,Contact,1,142,0,New
2026-01-02,U760,S2401,Email,Newsletter,India,Mobile,Blog,2,235,0,New
2026-01-02,U779,S2461,Email,Newsletter,Australia,Mobile,Blog,1,141,0,New
2026-01-02,U779,S2461,Email,Newsletter,Australia,Mobile,Contact,2,260,0,New
2026-01-02,U782,S2471,Social,Instagram,Australia,Mobile,Contact,1,153,1,New
2026-01-02,U782,S2471,Social,Instagram,Australia,Mobile,Checkout,2,186,1,New
2026-01-02,U808,S2544,Email,Newsletter,Canada,Desktop,Pricing,1,149,1,New
2026-01-02,U808,S2544,Email,Newsletter,Canada,Desktop,Checkout,2,33,1,New
2026-01-02,U808,S2544,Email,Newsletter,Canada,Desktop,Product,3,200,1,New
2026-01-02,U828,S2599,Social,Instagram,India,Mobile,Pricing,1,134,0,New
2026-01-02,U837,S2625,Social,Instagram,USA,Desktop,Home,1,216,0,New
2026-01-02,U837,S2625,Social,Instagram,USA,Desktop,Blog,2,80,0,New
2026-01-02,U837,S2625,Social,Instagram,USA,Desktop,Checkout,3,132,0,New
2026-01-02,U861,S2690,Organic,Google,UK,Mobile,Product,1,50,1,New
2026-01-02,U861,S2690,Organic,Google,UK,Mobile,Home,2,262,1,New
2026-01-02,U861,S2690,Organic,Google,UK,Mobile,Checkout,3,51,1,New
2026-01-02,U861,S2690,Organic,Google,UK,Mobile,Blog,4,72,1,New
2026-01-02,U913,S2832,Referral,PartnerSite,India,Tablet,Product,1,105,0,New
2026-01-02,U923,S2867,Direct,Website,Canada,Mobile,Blog,1,245,0,New
2026-01-02,U923,S2867,Direct,Website,Canada,Mobile,Pricing,2,125,0,New
2026-01-02,U923,S2867,Direct,Website,Canada,Mobile,Home,3,161,0,New
2026-01-02,U923,S2867,Direct,Website,Canada,Mobile,Product,4,191,0,New
2026-01-02,U89,S291,Organic,Google,UK,Desktop,Pricing,1,166,0,New
2026-01-02,U89,S291,Organic,Google,UK,Desktop,Blog,2,257,0,New
2026-01-02,U89,S291,Organic,Google,UK,Desktop,Product,3,52,0,New
2026-01-02,U89,S291,Organic,Google,UK,Desktop,Checkout,4,41,0,New
2026-01-02,U939,S2921,Referral,PartnerSite,Australia,Mobile,Checkout,1,101,1,New
2026-01-02,U939,S2921,Referral,PartnerSite,Australia,Mobile,Contact,2,52,1,New
2026-01-02,U939,S2921,Referral,PartnerSite,Australia,Mobile,Product,3,155,1,New
